movieId,title,genres,keywords
33,Wings of Courage (1995),Adventure|Romance|IMAX,3-dimensional|3d|airmail|period-piece|imax
34,Babe (1995),Children|Drama,pig|sheep|farm|sheepdog|border-collie|christmas|pet-owner-relationship|one-word-title|voice-over-narration|talking-animal
35,Carrington (1995),Drama|Romance,writer|gay|rape|f-rated|character-name-as-title|dora-carrington-character|lytton-strachey-character|flower-bulb|planting|man-knits
36,Dead Man Walking (1995),Crime|Drama,nun|capital-punishment|solitary-confinement|f-rated|execution|governor|empathy|straitjacket|mother-daughter-relationship|woods
37,Across the Sea of Time (1995),Documentary|IMAX,3-dimensional|3d|immigrant|11-year-old|brooklyn-new-york-city|times-square-manhattan-new-york-city|statue-of-liberty-new-york-city|new-york-city|manhattan-new-york-city|little-italy-manhattan-new-york-city
38,It Takes Two (1995),Children|Comedy,mistaken-identity|identity-swapping|nylon-stockings|child-plays-matchmaker|embarrassment|helicopter|manhattan-new-york-city|tubi-tv|twins|frog-croaking
39,Clueless (1995),Comedy|Romance,high-school|valley-girl|female-protagonist|makeover|popularity|matchmaker|los-angeles-california|modern-day-adaptation|fashion|stepbrother-stepsister-relationship
40,"Cry, the Beloved Country (1995)",Drama,1940s|racial-tension|apartheid|south-africa|remake|based-on-novel|race-relations|year-1946|post-war|johannesburg-south-africa
41,Richard III (1995),Drama|War,fascist|dog|tank|battle|widow|betrayal|man-in-a-bathtub|falling-to-death|gas-mask|prime-minister
42,Dead Presidents (1995),Action|Crime|Drama,hood|vietnam-war|1960s|black-panthers|war-wound|gangster|insanity|ex-marine|gunfight|shootout
43,Restoration (1995),Drama,17th-century|plague|based-on-novel|king-charles-ii|historical-event|restoration|doctor|court-physician|male-nudity|english-court
44,Mortal Kombat (1995),Action|Adventure|Fantasy,based-on-video-game|campy|evil-man|villain|woman-breaks-a-man's-neck|woman-fights-a-man|woman-murders-a-man|woman-punches-a-man|murderess|kung-fu
45,To Die For (1995),Comedy|Drama|Thriller,female-protagonist|journalism|new-hampshire|television|narcissistic-personality-disorder|cheating-wife|female-sociopath|masturbation|femme-fatale|anchorwoman
46,How to Make an American Quilt (1995),Drama|Romance,younger-version-of-character|triple-f-rated|title-directed-by-female|classical-music|wedding-music|love|marriage|wedding|quilt|graduate-student
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,historically-inaccurate|native-american-protagonist|female-protagonist|disobedience|noble-savage|pocahontas-character|captain-john-smith-character|pet-raccoon|feeding-a-raccoon|native-american
49,When Night Is Falling (1995),Drama|Romance,christian|teacher|interracial-lesbians|red-pubic-hair|bisexual|bisexual-woman|lesbian-sex|f-rated|title-directed-by-female|horniness
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,behind-the-scenes|making-of|starring-role|bit-player|dvd-extra|dvd-bonus|actor|day-player|dvd-special-feature|filmmaker
51,Guardian Angel (1994),Action|Drama|Thriller,murder-of-a-police-officer|shooting-a-police-officer|police-officer|police-officer-killed|police-officer-shot|police-officer-knocked-unconscious|stolen-police-car|undercover-female-police-officer|barroom-brawl|fall-from-horse
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,adopted-son|new-york-city|talking-about-sex|husband-wife-relationship|hot|blind-man|reference-to-sugar-ray-leonard|sportswriter|department-store|reference-to-mike-tyson
53,Lamerica (1994),Adventure|Drama,albania|one-word-title|poverty|fraud|post-cold-war|psychological-drama|corruption|emigration
54,"Big Green, The (1995)",Children|Comedy,close-up-of-eyes|texas|fast-motion-scene|slimehouse|soccer-sport|teen-sport|sports-team|soccer|overalls|soccer-movie
55,Georgia (1995),Drama,woman-on-top|voyeur|sex-in-bed|female-rear-nudity|female-frontal-nudity|female-nudity|breasts|sister-sister-estrangement|sister-sister-conflict|sister-sister-relationship
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,sword|magic|11-year-old|boy|child-protagonist|child-as-main-character|boy-hero|child-hero|time-travel|sword-and-sorcery
57,Home for the Holidays (1995),Drama,thanksgiving|gay-sibling|female-protagonist|dysfunctional-family|gay-interest|homosexual|christmas|turkey|title-directed-by-female|f-rated
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,poetry|island|love|postman|poet|italy|bicycle|friendship|communism|1950s
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,reference-to-joan-of-arc|1950s|priest|hitchcockian|dressing-gown|braless|pasties|gay-bathhouse|wrist-slitting|voice-box
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,miniature-person|action-figure|native-american|cowboy|child-protagonist|fantasy-becomes-reality|anthropomorphic-toy|responsibility|secret|boy
61,Eye for an Eye (1996),Drama|Thriller,rape|vigilante|rape-and-murder|pantyhosed-leg|murder|revenge|female-pantyhosed-crotch|rape-and-revenge|self-defense|detective
62,Mr. Holland's Opus (1995),Drama,teaching|high-school|1990s|deafness|high-school-teacher|teacher-student-relationship|musical-education|marching-band|dedicated-teacher|portland-oregon
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,hood|parody|cult-film|killed-on-birthday|breaking-the-fourth-wall|imperative-in-title|ghetto|black-comedy|drive-by-shooting|african-american
64,Two if by Sea (1996),Comedy|Romance,painting|island|thief|voyeur|vomiting|lingerie-slip|seasickness|shower|kitchen|diner
65,Bio-Dome (1996),Comedy,stupidity|bio-dome|experiment|biosphere|slapstick-comedy|fish-out-of-water|party|environmentalism|dome|stoner
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,psychotronic-film|gender-in-title|numbered-sequel|low-budget-sci-fi-movie|timeframe-2040s|cyberpunk-sci-fi|child-in-jeopardy|computer|parking-garage|sword
67,Two Bits (1995),Drama,man-wears-eyeglasses|disney|paramount|old-man|suicide-by-hanging|great-depression|cinema|confession|grandfather-grandson-relationship|independent-film
68,French Twist (Gazon maudit) (1995),Comedy|Romance,f-rated|lesbian|male-full-frontal-nudity|strong-female-character|polyamorous-relationship|pregnant-lesbian|husband-wife-relationship|female-frontal-nudity|nudity|estate-agent
69,Friday (1995),Comedy,neighborhood|bully|drug-dealer|1990s|ice-cream-truck|hat|drug-user|drug|drugs|african-american-family
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,stripper|held-hostage|u.s.-mexico-border|priest|strip-club|recreational-vehicle|sexy-female-vampire|rape-victim|pervert|sex-offender
71,Fair Game (1995),Action,female-lawyer|spy|based-on-novel|woman-in-jeopardy|male-rear-nudity|lust|interrupted-sex|cult-film|gunfight|damsel-in-distress
72,Kicking and Screaming (1995),Comedy|Drama,female-stockinged-legs|pantyhose|slacker|independent-film|student|written-by-director|group-of-friends|nightclub|pitcher-of-beer|housemate
73,"Misérables, Les (1995)",Drama|War,lawyer|boxer|jewish|paris-france|nun|dead-children|system|suicide|redemption|prostitute
74,Bed of Roses (1996),Drama|Romance,florist|flower|widower|rooftop|painting|new-york-city|marriage-proposal|insomnia|grief|family-relationships
75,Big Bully (1996),Comedy|Drama,close-up-of-eyes|close-up-of-lips|close-up-of-mouth|male-protagonist|slimehouse|timeframe-1970s|timeframe-1990s|wedgie|atomic-wedgie|record-scratch-sound-effect
76,Screamers (1995),Action|Sci-Fi|Thriller,matte-painting|miniature-model|shakespearean-quotation|2070s|based-on-short-story|dystopia|future|cult-film|part-stop-motion|elevator-shaft
77,Nico Icon (1995),Documentary,biographical-documentary|music-documentary|f-rated|female-musician|singer-songwriter|interview|female-singer|commercial|heroin|rock-music
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,safety
79,"Juror, The (1996)",Drama|Thriller,year-in-title|20th-century|1990s|number-in-title
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,money|little-girl|shopkeeper|snake-charmer|new-year's-day|brother-sister-relationship|balloon|new-year's-eve|goldfish|street-life
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,debt|contract-killer|one-last-job|gangster|redemption|denver-colorado|mafia|hitman|neo-noir|bloody-violence
82,Antonia's Line (Antonia) (1995),Comedy|Drama,feminist-film|character-name-as-title|dutch|unwed-mother|storytelling|seasons|sculptor|revenge|religion|prodigal-daughter
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,segregation|rural-setting|race-relations|prejudice|mississippi|racism|coming-of-age|based-on-book|racist|racial-segregation
84,Last Summer in the Hamptons (1995),Comedy|Drama,f-rated|long-island|actress|written-and-directed-by-cast-member|death-in-family|mother-daughter-relationship|stage|improv|independent-film
85,Angels and Insects (1995),Drama|Romance,aristocrat|england|country-life|male-frontal-nudity|erection|nudity|family-secret|sex|brother-sister-incest|brother-sister-sex
86,White Squall (1996),Action|Adventure|Drama,sail|squall|storm|male-bonding|acrophobia|tragedy|prostitute|jamaica|dolphin|based-on-true-story
87,Dunston Checks In (1996),Children|Comedy,brother-brother-relationship|air-duct|hotel-owner|concierge|vacation|employer-employee-relationship|mischief|prank|face-slap|fight-in-a-kitchen
88,Black Sheep (1996),Comedy,clumsiness|embarrassment|political-campaign|politics|crooked-politician|brother-brother-relationship|airplane|bunk-bed|fire-extinguisher|refrigerator
89,Nick of Time (1995),Action|Thriller,real-time|conservatism|vigilantism|character-repeats-someone-else's-dialogue|man-murders-a-woman|man-wears-eyeglasses|watching-tv|child-in-jeopardy|assassin|governor
90,"Journey of August King, The (1995)",Drama,timeframe-1810s|timeframe-19th-century|slave|freedom|slave-owner|law|widower|north-carolina|farmer|screenplay-adapted-by-author
92,Mary Reilly (1996),Drama|Horror|Thriller,dr.-jekyll-and-mr.-hyde-characters|housemaid|timeframe-19th-century|servant|laboratory|butler|brothel|disowning-one's-father|seductive-man|hiding
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,vampire|yellow-eyes|african-american|brooklyn-new-york-city|heart-ripped-out|ring|coffin|actor-playing-multiple-roles|murder-of-a-woman|psychotronic-film
94,Beautiful Girls (1996),Comedy|Drama|Romance,cheating-wife|friendship|lolita|older-man-younger-woman-relationship|extramarital-affair|lolita-complex|high-school-reunion|blonde-girl|reference-to-rex-harrison|reference-to-charles-bronson
95,Broken Arrow (1996),Action|Adventure|Thriller,stolen-nuclear-weapon|stealth-bomber|nuclear-weapons|nuclear-bomb|nuclear-explosion|male-male-relationship|good-versus-evil|evil-man|villain|hero
96,In the Bleak Midwinter (1995),Comedy|Drama,hotel-bill
97,"Hate (Haine, La) (1995)",Crime|Drama,gun|ghetto|riot|riot-police|24-hour-time-span|paris-france|police-brutality|hate|arab|police-violence
98,Shopping (1994),Action|Thriller,timeframe-1990s|shopping|shop|shopping-mall|stealing|rivalry|prison|money|future|death
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,narration|prostitution|character-name-in-title
100,City Hall (1996),Drama|Thriller,columbia-tristar|trailer|tv-spot|columbia-tristar-home-video|final-scene|sony|die-hard-scenario|hbo-max|comic-relief|mayor
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,texas|caper|dark-comedy|no-opening-credits|kiss|motel-maid|implied-sex|man-woman-romance|bar-fight|car-theft
102,Mr. Wrong (1996),Comedy,date|single-woman|television-studio|stalker|possessive-love|possessive-boyfriend|told-in-flashback|abduction|wedding|church
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,self-experimentation|implanted-memory|corpse|morgue|naked-corpse|male-frontal-nudity|male-pubic-hair|naked-dead-man|naked-dead-body|pubic-hair
104,Happy Gilmore (1996),Comedy,golf|jealousy|arrogance|golf-course|anger|alligator|rivalry|reference-to-david-hasselhoff|censored-profanity|unpaid-taxes
105,"Bridges of Madison County, The (1995)",Drama|Romance,rural-setting|husband-wife-relationship|extramarital-affair|love-letter|goodbye|covered-bridge|impossible-love|american-dream|everyday-life|sexual-mores
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,f-rated|female-nudity|bath|homosexual
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,the-muppets|breaking-the-fourth-wall|miss-piggy-character|swedish-chef-character|kermit-the-frog-character|disability|barefoot|barefoot-boy|character-credited-as-self|cabin-fever
108,Catwalk (1996),Documentary,
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,topless-bar|topless|stripper|jeans|tattoo|wheelchair|gun-held-to-head|handgun|drinking-beer|jack-daniels-whiskey
110,Braveheart (1995),Action|Drama|War,scotland|revolt|legend|england|idealism|secret-marriage|epic|famous-line|tyranny|death-of-wife
111,Taxi Driver (1976),Crime|Drama|Thriller,taxi-driver|child-prostitution|loner|street-life|neo-noir|assassination-attempt|urban-decay|manhattan-new-york-city|shootout|anti-hero
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,
113,Before and After (1996),Drama|Mystery,based-on-novel|suspect|lie|boyfriend-girlfriend-relationship|murder-investigation|family-crisis|dysfunctional-family|accidental-death|small-town|father-son-relationship
114,Margaret's Museum (1995),Drama,male-nudity|alliteration-in-title|two-word-title|name-in-title|female-name-in-title|male-in-a-shower|man-in-a-shower|taking-a-shower|male-wears-underwear|male-objectification
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,south-of-france|1990s|watching-tv|dysfunctional-couple|estranged-daughter|tv-show|reality-tv-show|company-boss|vasovagal-syncope|face-in-plate
116,Anne Frank Remembered (1995),Documentary,reference-to-anne-frank|1940s|1930s|soldier|hiding-a-jew|army|soviet|dutch|f-rated|anne-frank
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,poisoner|murderer|poisoned-to-death|murder-by-poison|thallium-poisoning|poison|psychiatrist|head-in-toilet|serial-killer|mental-institution
118,If Lucy Fell (1996),Comedy|Romance,love|roommate|new-york-city|lingerie-slip|suicide-attempt|new-york|painter|brooklyn-bridge|best-friend|male-female-relationship
119,"Steal Big, Steal Little (1995)",Comedy,lawyer|estate|twin-brother|brother-brother-relationship|santa-barbara-california|bulldozer|family-relationships|ex-cop|chicago-illinois|inheritance
120,Race the Sun (1996),Adventure|Comedy|Drama,high-school-student|teenage-boy|teenage-girl|solar-car|building-a-car|year-1990|world-solar-challenge|high-school-teacher|science-teacher|divorcee
121,"Boys of St. Vincent, The (1992)",Drama,boy-nudity|orphanage|boy|priest|sexual-abuse|hush-money|young-boy|st.-john's-newfoundland-and-labrador|rape-of-a-boy|belting
122,Boomerang (1992),Comedy|Romance,advertising-executive|african-american-protagonist|sex-scene|premarital-sex|yuppie|chauvinist|1990s|friendship-between-men|female-frontal-nudity|lust
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,drug-smuggling|hong-kong|daydream|loneliness|spoken-inner-thoughts|hotel-room|two-stories|drug-dealer|existential-loneliness|police-officer
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,
125,Flirting With Disaster (1996),Comedy,road-movie|husband-wife-relationship|dysfunctional-family|truck-driver|restaurant|desert|baby|title-based-on-song|living-out-of-a-suitcase|sexy
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,sequel-by-name-only|cult-film|playing-guitar|new-kid-in-school|destruction|gnome|martial-arts|fistfight|fireworks|high-fantasy
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,
128,Jupiter's Wife (1994),Documentary,central-park|american-society-for-the-prevention-of-cruelty-to-animals|biographical-documentary|park|actor|planet-in-title|punctuation-in-title|manhattan-new-york-city|voice-over-narration|vietnam-war
129,Pie in the Sky (1996),Comedy|Romance,
130,Angela (1995),Drama,girl|mental-illness|little-girl|reference-to-heaven|angel|working-class|symbolism|spirituality|sister-sister-relationship|sadness
131,Frankie Starlight (1995),Drama|Romance,boy|ireland|writer|flashback|troop-ship|star|two-word-title|house|prediction|author
132,Jade (1995),Thriller,female-full-frontal-nudity|murder-of-a-nude-woman|panties-pulled-down|hit-by-a-car|rear-entry-sex|cunnilingus|oral-sex|serial-killer|extramarital-affair|female-removes-her-dress
133,Nueba Yol (1995),Comedy|Drama,local-blockbuster|new-york|intentionally-misspelled-title|snowman|snowball-fight|farewell-party|spanglish|dream-sequence|shootout|drug-trafficking
134,Sonic Outlaws (1995),Documentary,copyright|guerilla-art|media|independent-film
135,Down Periscope (1996),Comedy,cook|electrician|sonar-operator|female-naval-officer|chase|pursuit|fart|farting|woman-wears-a-uniform|disney
136,From the Journals of Jean Seberg (1995),Documentary,fbi-federal-bureau-of-investigation|marriage|black-panthers|politics|actress|reference-to-marilyn-monroe|reference-to-greta-garbo|reference-to-brigitte-bardot|reference-to-sigourney-weaver|reference-to-vanessa-redgrave
137,Man of the Year (1995),Documentary,fictional-talk-show|gay-slur|magazine|centerfold|contest|date|photograph|mockumentary|playgirl-magazine|gay
138,"Neon Bible, The (1995)",Drama,timeframe-1940s|georgia-usa|teen-angst|teenage-boy|british-renaissance|told-in-flashback|evangelist|father-son-relationship|enigma|aunt-nephew-relationship
139,Target (1995),Action|Drama,based-on-novel
140,Up Close and Personal (1996),Drama|Romance,
141,"Birdcage, The (1996)",Comedy,charade|pretense|sham|united-states-of-america|united-states|same-sex-parents|pretending-to-be-straight|fiance-fiancee-relationship|gay-father|remake-of-french-film
142,Shadows (Cienie) (1988),Drama,world-war-two|boy|girl|lebensborn|german|aryan|master-race|third-reich|reference-to-adolf-hitler|long-lost-mother
143,Gospa (1995),Drama,priest|nun|semi-religious|propaganda|religion|faith|miracle|execution
144,"Brothers McMullen, The (1995)",Comedy,
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,miami-florida|buddy-movie|criminal-investigation|murder-investigation|usa|united-states|murder|witness|drug-lord|1990s
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,boyfriend-girlfriend-relationship|actor-shares-first-name-with-character|no-opening-credits|poaching|dog|canine|plane|giant-panda|panda-cub|forest-adventure
147,"Basketball Diaries, The (1995)",Drama,addiction|gay|masturbation-reference|talking-about-masturbation|male-objectification|tank-top|sunbathing|male-wears-underwear|taking-off-underwear|bare-butt
148,"Awfully Big Adventure, An (1995)",Drama,accidental-incest|overalls|speech|man-wears-eyeglasses|1940s|reference-to-peter-pan|reference-to-captain-hook|reference-to-tinker-bell|clothesline|four-word-title
149,Amateur (1994),Crime|Drama|Thriller,pornographer|new-york-city|nun|amnesia|pantyhose|black-pantyhose|female-stockinged-legs|black-fishnets|gagged|foot-closeup
150,Apollo 13 (1995),Adventure|Drama|IMAX,1970s|survival|astronaut|space-mission|rescue|apollo-program|trapped-in-space|cape-kennedy|duct-tape|disaster
151,Rob Roy (1995),Action|Drama|Romance|War,scotland|highlands|flintlock-pistol|flintlock-rifle|husband-wife-relationship|sword-duel|swordsman|jumping-off-a-bridge|sword-fight|jacobite
152,"Addiction, The (1995)",Drama|Horror,
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,batman-character|bruce-wayne-character|alfred-pennyworth-character|harvey-dent-character|james-gordon-character|dick-grayson-character|two-face-character|robin-character|riddler-character|batcave
154,Beauty of the Day (Belle de jour) (1967),Drama,prostitute|prostitute-wife|marriage|white-bra-and-panties|brothel-madam|1960s|lesbian-innuendo|double-life|humiliation|sexual-humiliation
155,Beyond Rangoon (1995),Adventure|Drama|War,burma|escape|dictatorship|doctor|travel|rangoon|myanmar|military-dictatorship|political-rally|tourist
156,Blue in the Face (1995),Comedy|Drama,bare-breasts|topless-female-nudity|husband-wife-relationship|cigar-smoking|cigarette-smoking|boyfriend-girlfriend-relationship|singing-telegram-girl|reference-to-stockholm-sweden|reference-to-richard-conte|reference-to-the-brooklyn-dodgers
157,Canadian Bacon (1995),Comedy|War,international-relations|the-white-house|fight|beer|united-states|president|canada|fictional-war|political-comedy|political-candidate
158,Casper (1995),Adventure|Children,ghost|mansion|spirit|friendly-ghost|maine|friendship|forename-as-title|teasing|no-opening-credits|red-riding-hood-character
159,Clockers (1995),Crime|Drama|Mystery,italian-american|jewish-american|brooklyn-bridge|reference-to-rosa-parks|antacid|gastro-intestinal-problems|electric-train|bedford-stuyvesant-brooklyn-new-york-city|reference-to-david-and-goliath|hood
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,lost-city|gorilla|diamond|talking-gorilla|heroine|hero|tough-guy|tough-girl|american|central-africa
161,Crimson Tide (1995),Drama|Thriller|War,submarine|tense|nuclear-missile|mutiny|u.s.-navy|navy-submarine|chain-of-command|submarine-launched-ballistic-missile|nuclear-weapon|nuclear-threat
162,Crumb (1994),Documentary,robert-crumb|cartoonist|underground-comic|psychotronic-film|timeframe-1970s|art-documentary|biographical-documentary|art|satire|cult-film
163,Desperado (1995),Action|Romance|Western,contemporary-western|mexican|one-against-many|lone-wolf|musician|sexy-woman|voyeur|thong-panties|cleavage|panties
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,african-american|jazz-club|private-detective|missing-person|jazz-music|los-angeles-california|investigation|femme-fatale|1940s|neo-noir
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,diversionary-tactic|grudge|telephone-booth|tough-cop|bomb|terrorist|new-york-city|explosion|subway|puzzle
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,one-female-two-males-threesome|fellatio|threesome|anal-rape|mistaken-identity|penis|male-frontal-nudity|male-nudity|aimlessness|new-queer-cinema
167,Feast of July (1995),Drama,sex-scene|cobbler-the-shoemaker|shoe|19th-century|england|marriage|sibling-rivalry|marriage-proposal|weeping|vomiting
168,First Knight (1995),Action|Drama|Romance,based-on-legend|love-triangle|arthurian-legend|king-arthur-character|warlord|horse|love|hostage|rescue|heroism
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,whale|boy|oil-tanker|oil-spill|killer-whale|anti-whaling|search-and-rescue|part-of-trilogy|native-american|environmental-disaster
170,Hackers (1995),Action|Adventure|Crime|Thriller,computer|computer-virus|cyberpunk|hacker|floppy-disk|sexual-fantasy|computer-cracker|male-nudity|wrapped-in-a-towel|taking-a-shower
171,Jeffrey (1995),Comedy|Drama,gay|gay-priest|new-york-city|gay-kiss|aids|homosexual|gay-friend|hot|sex-scene|sexy
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,implanted-memory|virtual-reality|cyberpunk|cyberspace|based-on-story|glasses|erased-memory|destroyed-bridge|hotel|hotel-check-in
173,Judge Dredd (1995),Action|Crime|Sci-Fi,based-on-comic-book|cult-film|judge|police|police-brutality|walled-city|police-academy|tough-cop|2000-a.d.-comics|futuristic-city
174,Jury Duty (1995),Comedy,jury|dog|hotel|mother-son-relationship|serial-killer|unemployment|murder-trial|jury-duty|male-stripper|title-spoken-by-character
